	simple_id	supplier_id	seq_depth	subset	exclude	genus	species	callset202103	callset202103_malawi2perspecies	calset202106_GWAS	sex	clade	location	sublocation	undescribed	source	seq_source	notes	calcua_read_location	read_type	calcua_alignment_location_fAstCal1.2	study	study_id	change_history	taxonomic_uncertainty	full_name
cichlid6994078	LabTre18	D05-D07	16.03	1.0		Labeotropheus	trewavasae	1.0	0.0	1.0	U	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994078/fAstCal1.2/cichlid6994078.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Labeotropheus_trewavasae
cichlid6994079	LabTre19	D05-D08	16.83	1.0		Labeotropheus	trewavasae	1.0	0.0	1.0	F	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994079/fAstCal1.2/cichlid6994079.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Labeotropheus_trewavasae
cichlid6994080	LabTre20	D05-D09	16.69	1.0		Labeotropheus	trewavasae	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994080/fAstCal1.2/cichlid6994080.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Labeotropheus_trewavasae
cichlid6994081	LabTre21	D05-D10	17.16	1.0		Labeotropheus	trewavasae	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994081/fAstCal1.2/cichlid6994081.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Labeotropheus_trewavasae
cichlid6994082	LabFue11	D05-E01	15.32	1.0		Labeotropheus	fuelleborni	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994082/fAstCal1.2/cichlid6994082.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Labeotropheus_fuelleborni
cichlid6994084	LabFue12	D05-E02	15.98	1.0		Labeotropheus	fuelleborni	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994084/fAstCal1.2/cichlid6994084.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Labeotropheus_fuelleborni
cichlid6994085	LabTre22	D05-E03	16.24	1.0		Labeotropheus	trewavasae	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994085/fAstCal1.2/cichlid6994085.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Labeotropheus_trewavasae
cichlid6994086	LabTre23	D05-E04	16.03	1.0		Labeotropheus	trewavasae	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/Malawi_cichlids_2017/cichlid6994086/cichlid6994086.cram	cram		Malawi_cichlids_2017	4812.0			Labeotropheus_trewavasae
cichlid6994087	LabTre24	D05-E05	13.86	1.0		Labeotropheus	trewavasae	1.0	0.0	1.0	F?	Mbuna	Chilumba	Luwino_reef	0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/Malawi_cichlids_2017/cichlid6994087/cichlid6994087.cram	cram		Malawi_cichlids_2017	4812.0			Labeotropheus_trewavasae
cichlid6994088	LabTre25	D05-E06	17.31	1.0		Labeotropheus	trewavasae	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/Malawi_cichlids_2017/cichlid6994088/cichlid6994088.cram	cram		Malawi_cichlids_2017	4812.0			Labeotropheus_trewavasae
cichlid6994089	LabTre26	D05-E07	15.72	1.0		Labeotropheus	trewavasae	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/Malawi_cichlids_2017/cichlid6994089/cichlid6994089.cram	cram		Malawi_cichlids_2017	4812.0			Labeotropheus_trewavasae
cichlid6994090	LabFue13	D05-E08	15.62	1.0		Labeotropheus	fuelleborni	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994090/fAstCal1.2/cichlid6994090.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Labeotropheus_fuelleborni
cichlid6994091	LabFue14	D05-E09	16.96	1.0		Labeotropheus	fuelleborni	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994091/fAstCal1.2/cichlid6994091.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Labeotropheus_fuelleborni
cichlid6994092	LabFue15	D05-E10	16.31	1.0		Labeotropheus	fuelleborni	1.0	0.0	1.0	F?	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994092/fAstCal1.2/cichlid6994092.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Labeotropheus_fuelleborni
cichlid6994093	LabTre27	D05-F01	15.95	1.0		Labeotropheus	trewavasae	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994093/fAstCal1.2/cichlid6994093.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Labeotropheus_trewavasae
cichlid6994094	LabTre28	D05-F02	17.16	1.0		Labeotropheus	trewavasae	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994094/fAstCal1.2/cichlid6994094.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Labeotropheus_trewavasae
cichlid6994095	LabFue16	D05-F03	15.93	1.0		Labeotropheus	fuelleborni	1.0	0.0	1.0	U	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994095/fAstCal1.2/cichlid6994095.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Labeotropheus_fuelleborni
cichlid6994097	LabFue18	D05-F05	17.56	1.0		Labeotropheus	fuelleborni	1.0	0.0	1.0	U	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994097/fAstCal1.2/cichlid6994097.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Labeotropheus_fuelleborni
cichlid6994098	LabFue19	D05-F06	18.5	1.0		Labeotropheus	fuelleborni	1.0	0.0	1.0	F	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994098/fAstCal1.2/cichlid6994098.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Labeotropheus_fuelleborni
cichlid6994099	LabFue20	D05-F07	17.72	1.0		Labeotropheus	fuelleborni	1.0	0.0	1.0	F	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994099/fAstCal1.2/cichlid6994099.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Labeotropheus_fuelleborni
cichlid6994100	LabFue21	D05-F08	17.97	1.0		Labeotropheus	fuelleborni	1.0	0.0	1.0	F	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994100/fAstCal1.2/cichlid6994100.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Labeotropheus_fuelleborni
cichlid6994101	LabFue22	D05-F09	18.72	1.0		Labeotropheus	fuelleborni	1.0	0.0	1.0	F	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994101/fAstCal1.2/cichlid6994101.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Labeotropheus_fuelleborni
CICHM16429573	PetGen5	D05-F10	19.69	1.0		Petrotilapia	genalutea	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/IHTP_MWGS_Cichlid_Malawi_2016_batch_1/CICHM16429573/CICHM16429573.cram	cram		IHTP_MWGS_Cichlid_Malawi_2016_batch_1	4244.0			Petrotilapia_genalutea
CICHM16429574	PetGen6	D05-G01	25.98	1.0		Petrotilapia	sp-genalutea-northern	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/IHTP_MWGS_Cichlid_Malawi_2016_batch_1/CICHM16429574/CICHM16429574.cram	cram		IHTP_MWGS_Cichlid_Malawi_2016_batch_1	4244.0	species:genalutea;		Petrotilapia_sp-genalutea-northern
CICHM16429575	PetGen7	D05-G02	26.74	1.0		Petrotilapia	sp-genalutea-northern	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/IHTP_MWGS_Cichlid_Malawi_2016_batch_1/CICHM16429575/CICHM16429575.cram	cram		IHTP_MWGS_Cichlid_Malawi_2016_batch_1	4244.0	species:genalutea;		Petrotilapia_sp-genalutea-northern
CICHM16429729	MayFai22	D05-G03	35.39	1.0		Maylandia	fainzilberi	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/IHTP_MWGS_Cichlid_Malawi_2016_batch_1/CICHM16429729/CICHM16429729.cram	cram		IHTP_MWGS_Cichlid_Malawi_2016_batch_1	4244.0			Maylandia_fainzilberi
cichlid6994102	MayFai23	D05-G04	19.26	1.0		Maylandia	fainzilberi	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994102/fAstCal1.2/cichlid6994102.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Maylandia_fainzilberi
cichlid6994103	MayFai24	D05-G05	15.35	1.0		Maylandia	fainzilberi	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994103/fAstCal1.2/cichlid6994103.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Maylandia_fainzilberi
cichlid6994104	MayFai25	D05-G06	16.83	1.0		Maylandia	fainzilberi	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994104/fAstCal1.2/cichlid6994104.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Maylandia_fainzilberi
cichlid6994105	MayFai26	D05-G07	18.96	1.0		Maylandia	fainzilberi	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994105/fAstCal1.2/cichlid6994105.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Maylandia_fainzilberi
cichlid6994106	MayFai27	D05-G08	16.75	1.0		Maylandia	fainzilberi	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994106/fAstCal1.2/cichlid6994106.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Maylandia_fainzilberi
cichlid6994107	MayFai28	D05-G09	17.16	1.0		Maylandia	fainzilberi	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994107/fAstCal1.2/cichlid6994107.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Maylandia_fainzilberi
cichlid6994108	MayFai29	D05-G10	16.25	1.0		Maylandia	fainzilberi	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994108/fAstCal1.2/cichlid6994108.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Maylandia_fainzilberi
cichlid6994109	MayFai30	D05-H01	22.49	1.0		Maylandia	fainzilberi	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994109/fAstCal1.2/cichlid6994109.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Maylandia_fainzilberi
cichlid6994110	MayFai31	D05-H02	22.19	1.0		Maylandia	fainzilberi	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994110/fAstCal1.2/cichlid6994110.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Maylandia_fainzilberi
cichlid6994111	MayFai32	D05-H03	18.62	1.0		Maylandia	fainzilberi	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994111/fAstCal1.2/cichlid6994111.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Maylandia_fainzilberi
cichlid6994112	MayFai33	D05-H04	20.95	1.0		Maylandia	fainzilberi	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994112/fAstCal1.2/cichlid6994112.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Maylandia_fainzilberi
cichlid6994113	MayFai34	D05-H05	16.31	1.0		Maylandia	fainzilberi	1.0	0.0	1.0	F?	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994113/fAstCal1.2/cichlid6994113.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Maylandia_fainzilberi
cichlid6994114	MayFai35	D05-H06	19.63	1.0		Maylandia	fainzilberi	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994114/fAstCal1.2/cichlid6994114.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Maylandia_fainzilberi
cichlid6994115	MayFai36	D05-H07	16.7	1.0		Maylandia	fainzilberi	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994115/fAstCal1.2/cichlid6994115.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Maylandia_fainzilberi
cichlid6994116	MayFai37	D05-H08	16.69	1.0		Maylandia	fainzilberi	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994116/fAstCal1.2/cichlid6994116.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Maylandia_fainzilberi
cichlid6994117	MayFai38	D05-H10	20.84	1.0		Maylandia	fainzilberi	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994117/fAstCal1.2/cichlid6994117.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Maylandia_fainzilberi
cichlid6994118	MayFai39	D05-I01	16.81	1.0		Maylandia	fainzilberi	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994118/fAstCal1.2/cichlid6994118.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Maylandia_fainzilberi
cichlid6994119	MayFai40	D05-I02	16.94	1.0		Maylandia	fainzilberi	1.0	0.0	1.0	F?	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994119/fAstCal1.2/cichlid6994119.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Maylandia_fainzilberi
CICHM16429746	PetUnk1	D05-I03	44.58	1.0		Petrotilapia	sp-genalutea-northern	1.0	1.0	1.0	F	Mbuna	Chilumba	Luwino_reef	0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/IHTP_MWGS_Cichlid_Malawi_2016_batch_1/CICHM16429746/CICHM16429746.cram	cram		IHTP_MWGS_Cichlid_Malawi_2016_batch_1	4244.0	species:sp;		Petrotilapia_sp-genalutea-northern
cichlid6994120	LabFue23	D05-I04	16.51	1.0		Labeotropheus	fuelleborni	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994120/fAstCal1.2/cichlid6994120.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Labeotropheus_fuelleborni
cichlid6994121	MayPea6	D05-I05	18.95	1.0		Maylandia	sp-pearly	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	1.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994121/fAstCal1.2/cichlid6994121.mem.crumble.cram	Malawi_cichlids_2017	4812.0	species:sp-pearly;		Maylandia_sp-pearly
cichlid6994122	MayPea7	D05-I06	20.66	1.0		Maylandia	sp-pearly	1.0	1.0	1.0	M	Mbuna	Chilumba	Luwino_reef	1.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994122/fAstCal1.2/cichlid6994122.mem.crumble.cram	Malawi_cichlids_2017	4812.0	species:sp-pearly;		Maylandia_sp-pearly
cichlid6994123	MayPea8	D05-I07	17.98	1.0		Maylandia	sp-pearly	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	1.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994123/fAstCal1.2/cichlid6994123.mem.crumble.cram	Malawi_cichlids_2017	4812.0	species:sp-pearly;		Maylandia_sp-pearly
cichlid6994124	MayPea9	D05-I08	14.83	1.0		Maylandia	sp-pearly	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	1.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994124/fAstCal1.2/cichlid6994124.mem.crumble.cram	Malawi_cichlids_2017	4812.0	species:sp-pearly;		Maylandia_sp-pearly
cichlid6994125	MayPea10	D05-I09	15.61	1.0		Maylandia	sp-pearly	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	1.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994125/fAstCal1.2/cichlid6994125.mem.crumble.cram	Malawi_cichlids_2017	4812.0	species:sp-pearly;		Maylandia_sp-pearly
cichlid6994126	MayPea11	D05-I10	16.77	1.0		Maylandia	sp-pearly	1.0	0.0	1.0	M	Mbuna	Chilumba	Luwino_reef	1.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994126/fAstCal1.2/cichlid6994126.mem.crumble.cram	Malawi_cichlids_2017	4812.0	species:sp-pearly;		Maylandia_sp-pearly
cichlid6994127	MayPea12	D05-J01	17.26	1.0		Maylandia	sp-pearly	1.0	0.0	1.0	F	Mbuna	Chilumba	Luwino_reef	1.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994127/fAstCal1.2/cichlid6994127.mem.crumble.cram	Malawi_cichlids_2017	4812.0	species:sp-pearly;		Maylandia_sp-pearly
cichlid6994128	MayPea13	D05-J02	19.0	1.0		Maylandia	sp-pearly	1.0	0.0	1.0	F	Mbuna	Chilumba	Luwino_reef	1.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994128/fAstCal1.2/cichlid6994128.mem.crumble.cram	Malawi_cichlids_2017	4812.0	species:sp-pearly;		Maylandia_sp-pearly
cichlid6994129	MayPea14	D05-J03	19.38	1.0		Maylandia	sp-pearly	1.0	0.0	1.0	F	Mbuna	Chilumba	Luwino_reef	1.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994129/fAstCal1.2/cichlid6994129.mem.crumble.cram	Malawi_cichlids_2017	4812.0	species:sp-pearly;		Maylandia_sp-pearly
cichlid6994130	MayPea15	D05-J04	19.57	1.0		Maylandia	sp-pearly	1.0	0.0	1.0	F	Mbuna	Chilumba	Luwino_reef	1.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994130/fAstCal1.2/cichlid6994130.mem.crumble.cram	Malawi_cichlids_2017	4812.0	species:sp-pearly;		Maylandia_sp-pearly
cichlid6994131	MayPea16	D05-J05	19.85	1.0		Maylandia	sp-pearly	1.0	1.0	1.0	F	Mbuna	Chilumba	Luwino_reef	1.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994131/fAstCal1.2/cichlid6994131.mem.crumble.cram	Malawi_cichlids_2017	4812.0	species:sp-pearly;		Maylandia_sp-pearly
cichlid6994132	MayPea17	D05-J06	17.22	1.0		Maylandia	sp-pearly	1.0	0.0	1.0	F	Mbuna	Chilumba	Luwino_reef	1.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994132/fAstCal1.2/cichlid6994132.mem.crumble.cram	Malawi_cichlids_2017	4812.0	species:sp-pearly;		Maylandia_sp-pearly
cichlid6994133	OtoSpe4	D05-J08	18.65	1.0		Otopharynx	speciosus	1.0	0.0	1.0	F?	Shallow	Chilumba	Chiweta_beach	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994133/fAstCal1.2/cichlid6994133.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Otopharynx_speciosus
cichlid6994134	OtoSpe5	D05-J09	17.3	1.0		Otopharynx	speciosus	1.0	0.0	1.0	U	Shallow	Chilumba	Chiweta_beach	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994134/fAstCal1.2/cichlid6994134.mem.crumble.cram	Malawi_cichlids_2017	4812.0			Otopharynx_speciosus
cichlid6994135	OtoDec1	D06-A01	16.33	1.0		Otopharynx	decorus	1.0	1.0	1.0	F	Shallow	Chilumba	Chiweta_beach	1.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994135/fAstCal1.2/cichlid6994135.mem.crumble.cram	Malawi_cichlids_2017	4812.0	species:cf-sp-decorus;		Otopharynx_decorus
cichlid6994136	OtoDec2	D06-A02	15.47	1.0		Otopharynx	decorus	1.0	0.0	1.0	F	Shallow	Chilumba	Chiweta_beach	1.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994136/fAstCal1.2/cichlid6994136.mem.crumble.cram	Malawi_cichlids_2017	4812.0	species:cf-sp-decorus;		Otopharynx_decorus
CICHM16429695	ProSim2	D06-A04	28.07	1.0		Protomelas	similis	1.0	0.0	1.0	F	Shallow	Chilumba	Chiweta_beach	0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/IHTP_MWGS_Cichlid_Malawi_2016_batch_1/CICHM16429695/CICHM16429695.cram	cram		IHTP_MWGS_Cichlid_Malawi_2016_batch_1	4244.0			Protomelas_similis
CICHM16429716	SciBen1	D06-A05	27.54	1.0		Sciaenochromis	benthicola	1.0	1.0	1.0	M	Shallow	Chilumba	Chiweta_beach	0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/IHTP_MWGS_Cichlid_Malawi_2016_batch_1/CICHM16429716/CICHM16429716.cram	cram		IHTP_MWGS_Cichlid_Malawi_2016_batch_1	4244.0	species:cf-benthicola;	cf.	Sciaenochromis_benthicola
cichlid6994137	SciUnk2	D06-A07	18.94	1.0		Sciaenochromis	benthicola	1.0	1.0	1.0	U	Shallow	Chilumba	Chiweta_beach	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994137/fAstCal1.2/cichlid6994137.mem.crumble.cram	Malawi_cichlids_2017	4812.0	species:sp;	cf.	Sciaenochromis_benthicola
CICHM16429712	LetLon1	D06-A08	30.46	1.0		Lethrinops	argenteus	1.0	1.0	1.0	F	Deep	Chilumba	Chiweta_beach	0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/IHTP_MWGS_Cichlid_Malawi_2016_batch_1/CICHM16429712/CICHM16429712.cram	cram		IHTP_MWGS_Cichlid_Malawi_2016_batch_1	4244.0	species:longipinnis;		Lethrinops_argenteus
cichlid6994138	OtoDec3	D06-A10	18.9	1.0		Otopharynx	decorus	1.0	1.0	1.0	M	Shallow	Chilumba	Chiweta_beach	1.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994138/fAstCal1.2/cichlid6994138.mem.crumble.cram	Malawi_cichlids_2017	4812.0	species:cf-sp-decorus;	cf.	Otopharynx_decorus
cichlid6994139	TroUnk3	D06-B01	20.34	1.0		Tropheops	sp-band	1.0	1.0	1.0	M	Mbuna	Chilumba	Chiweta_beach	0.0		sanger			cram	/scratch/antwerpen/grp/asvardal/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid6994139/fAstCal1.2/cichlid6994139.mem.crumble.cram	Malawi_cichlids_2017	4812.0	species:sp;		Tropheops_sp-band
